X,Y,OBJECTID,NUMMER,LOCATIE,NAAM,OPMERKING,STRAATNAAM,HUISNUMMER,HUISLETTER,TOEVOEGING,POSTCODE,WOONPLAATS,OPENINGSTIJDEN,URL
4.81381148096582,51.5891261590729,4048,31,"Kapelstraat 15, Breda",Bassisschool de Tweesprong, ,Kapelstraat,15, , ,4817NX,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.76312710853945,51.5733125332026,4049,451,"Langendijk 75, Breda",Amphia ziekenhuis Langendijk, ,Langendijk,75, , ,4819EV,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.71929799198262,51.600970154374,4050,301,"Markt 34, Prinsenbeek",RK Kerk, ,Markt,34, , ,4841AC,Prinsenbeek,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.71287823969088,51.5952326655605,4051,303,"Groenstraat 80, Prinsenbeek",Café-Zaal 't Veehandelshuis, ,Groenstraat,80, , ,4841BG,Prinsenbeek,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.76696551958447,51.5881734694356,4052,4,"Leuvenaarstraat 91, Breda","Surplus, woon-zorgcentrum Elisabeth", ,Leuvenaarstraat,91, , ,4811VJ,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.78835304248237,51.6068114617541,4053,19,"Antwerpenstraat 93, Breda",Vuchterhage, ,Antwerpenstraat,93, , ,4826HB,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.83049612694303,51.5657001944121,4054,203,"Jack van Gilsplein 1, Bavel",Sociaal Cultureel Centrum 't Klooster, ,Jack van Gilsplein,1, , ,4854CB,Bavel,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.80338649640577,51.5899058131806,4055,27,"Mgr. de Vetstraat 2, Breda",De Poelewei, ,Mgr. de Vetstraat,2, , ,4817JP,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.74153836170383,51.6232646400378,4056,92,"Heksenwiellaan 2, Breda",Wijkcentrum Heksenwiel, ,Heksenwiellaan,2, , ,4823HA,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.70884669568035,51.605661935472,4057,304,"Heikantsestraat 37, Prinsenbeek",Sportpark De Heikant, ,Heikantsestraat,37, , ,4841EG,Prinsenbeek,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.78071071836094,51.6129178151508,4058,17,"Vlaanderenstraat 56, Breda",Basisschool De Wisselaar, ,Vlaanderenstraat,56, , ,4826AH,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.78478084746194,51.5991441361352,4059,10,"Archimedesstraat 17, Breda",Breda University of Applied Sciences, ,Archimedesstraat,17, , ,4816BA,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.78310907801549,51.5874197597355,4060,6,"Claudius Prinsenlaan 10, Breda",Stadskantoor, ,Claudius Prinsenlaan,10, , ,4811DJ,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.8174651798392,51.5627250378554,4061,207,"Thoornseweg 81, Bavel",Stembureau Hoek Thoornseweg - Vossenlaar,Niet geschikt voor rolstoelgebruikers,Thoornseweg,81, , ,4854EH,Bavel,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.77235894559191,51.5705035054216,4062,402,"Boeimeerweg 2, Breda",Extra stembureau Ruitersbos, ,Boeimeerweg,2, , ,4837AM,Breda,11:30 - 13:00 uur,https://www.breda.nl/verkiezingen
4.77383730464771,51.5673772835006,4063,59,"Willem van Oranjelaan 17, Breda",Surplus locatie De Breedonk, ,Willem van Oranjelaan,17, , ,4837AJ,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.80807750442008,51.589908155373,4064,25,"Elandstraat 10, Breda",Surplus Welzijn, ,Elandstraat,10, , ,4817DP,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.70663300554873,51.6010205636823,4065,305,"Heisprong 15, Prinsenbeek",De Drie Linden, ,Heisprong,15, , ,4841NA,Prinsenbeek,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.81274689109945,51.6072086936744,4066,103,"Kriekenstraat 43, Teteringen",De Mandt, ,Kriekenstraat,43, , ,4847HE,Teteringen,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.79798845856698,51.5486859850705,4067,201,"Dorpstraat 94, Ulvenhout",Sociaal Cultureel Centrum De Pekhoeve, ,Dorpstraat,94, , ,4851CN,Ulvenhout,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.80936812252381,51.5869642444776,4068,26,"Lage Kant 60, Breda",De Leystroom, ,Lage Kant,60, , ,4817GG,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.78012716793568,51.5701414652415,4069,40,"Burgemeester Serrarislaan 32, Breda",Dr. De Visserschool, ,Burgemeester Serrarislaan,32, , ,4835LH,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.82182015294651,51.5886786473673,4070,29,"Grote Houw 227, Breda",'t Houwke, ,Grote Houw,227, , ,4817RE,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.7530778101215,51.5885871446931,4071,65,"Meidoornstraat 115, Breda",De Nieuwe Meidoorn, ,Meidoornstraat,115, , ,4814KB,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.73512886685132,51.5771792588939,4072,75,"Ambachtenlaan 1, Breda",Gemeenschapshuis De Koe, ,Ambachtenlaan,1, , ,4813HA,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.77918965970673,51.596132153858,4073,452,"Gravinnen van Nassauboulevard 58, Breda",NS Station Breda, ,Gravinnen van Nassauboulevard,58, , ,4811BN,Breda,05:15 - 21:00 uur,https://www.breda.nl/verkiezingen
4.73273075709618,51.6208723269759,4074,94,"Oeverzegge 1, Breda",De Driezwing, ,Oeverzegge,1, , ,4823MS,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.69800914773235,51.5733265425663,4075,78,"Liesstraat 4, Breda",Gemeenschapshuis Liesbos, ,Liesstraat,4, , ,4838GT,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.798855514899,51.570669158286,4076,47,"Overakkerstraat 101, Breda",Thebe De IJpelaar, ,Overakkerstraat,101, , ,4834XJ,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.77248668176019,51.5838691561718,4077,3,"Fellenoordstraat 93 D D, Breda",De Rooi Pannen, ,Fellenoordstraat,93,D,D,4811TH,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
4.79329065718475,51.5758686318203,4078,42,"Erasmusweg 24, Breda",Gemeenschapshuis Erasmus, ,Erasmusweg,24, , ,4834AA,Breda,07:30 - 21:00 uur,https://www.breda.nl/verkiezingen
